id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
61,KLIMT Gustav,0,0,Austria,Autres,Frauenbildnis - Portrait of Ria Munk III,1,1,Christie's LONDON,c-l,2010,61.jpg,24754820,A,C,1917-18,20eme,1910
209,KOONING de Willem,0,0,Netherlands - Belgium,Pays-Bas - Belgique,Untitled IV,1,1,Christie's NEW YORK,c-ny,2008,209.jpg,10750000,A,E,1975,20eme,1970
71,KOONS Jeff,0,0,USA,Etats-Unis,Balloon Flower - Magenta,1,2,Christie's LONDON,c-l,2008,71.jpg,22904550,B,G,1995-2000,20eme,1990
139,KOONS Jeff,0,0,USA,Etats-Unis,Balloon Flower - Blue,1,2,Christie's NEW YORK,c-ny,2010,139.jpg,15000000,B,G,1995 2000,20eme,1990
140,KOONS Jeff,0,0,USA,Etats-Unis,Pink panther,1,2,Sotheby’s NEW YORK,s-ny,2011,140.jpg,15000000,B,G,1988,20eme,1980
210,KOONS Jeff,0,0,USA,Etats-Unis,New Hoover Convertibles  New Shelton Wet Drys 5-Gallon  Double Decker,1,2,Christie's NEW YORK,c-ny,2008,210.jpg,10500000,B,G,1981-1987,20eme,1980
32,LÉGER Fernand,0,0,France,France,La Femme en Bleu,1,1,Sotheby’s NEW YORK,s-ny,2008,32.jpg,35000000,A,C,1912-1913,20eme,1910
168,LÉGER Fernand,0,0,France,France,La tasse de thé,1,1,Christie's PARIS,c-p,2009,168.jpg,13053960,A,B,1921,20eme,1920
269,LÉGER Fernand,0,0,France,France,Les femmes à la toilette,1,1,Christie's NEW YORK,c-ny,2008,269.jpg,9000000,A,B,1920,20eme,1920
147,LI Keran,0,0,China,Chine,Long march,1,1,China Guardian  Beijing,autre,2010,147.jpg,14486400,D,C,1959,20eme,1950
163,LI Keran,0,0,China,Chine,The Long March,1,1,Poly International Auction  BEIJING,poly,2010,163.jpg,13226400,D,C,1978,20eme,1970
22,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,I Can See the Whole Room!...and,1,1,Christie's NEW YORK,c-ny,2011,22.jpg,38500000,A,C,1961,20eme,1960
25,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,Ohhh...Alright...,1,1,Christie's NEW YORK,c-ny,2010,25.jpg,38000000,A,B,1964,20eme,1960
183,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,Ice Cream Soda,1,1,Sotheby’s NEW YORK,s-ny,2010,183.jpg,12500000,A,C,1962,20eme,1960
10,MALEVICH Kasimir Sevrinovitch,10,0,Ukraine,Autres,Suprematisch Composition,1,1,Sotheby’s NEW YORK,s-ny,2008,10.jpg,53500000,A,B,1916,20eme,1910
45,MANET Édouard,0,0,France,France,Portrait de Manet par lui-même  en buste,1,1,Sotheby’s LONDON,s-l,2010,45.jpg,29674000,A,B,1878 1879,19eme,none
221,MANET Édouard,0,0,France,France,Bouquet de Pivoines,1,1,Sotheby’s LONDON,s-l,2010,221.jpg,10089160,A,A,1882,17eme,none
270,MANZONI Piero,0,0,Italy,Italie,Achrome,1,1,Sotheby’s NEW YORK,s-ny,2008,270.jpg,9000000,A,C,1958,20eme,1950
79,MARC Franz,0,0,Germany,Allemagne,Weidende Pferde III,1,1,Sotheby’s LONDON,s-l,2008,79.jpg,21663400,A,B,1910,20eme,1910
17,MATISSE Henri,0,6,France,France,Nu de dos  4 état - Back IV,1,1,Christie's NEW YORK,c-ny,2010,17.jpg,43500000,B,G,1930,20eme,1930
19,MATISSE Henri,0,6,France,France,Les coucous  tapis bleu et rose,1,1,Christie's PARIS,c-p,2009,19.jpg,40953600,A,B,1911,20eme,1910
59,MATISSE Henri,0,6,France,France,Bouquet de fleurs pour le quatorze juillet,1,1,Sotheby’s NEW YORK,s-ny,2010,59.jpg,25500000,A,C,1919,20eme,1910
88,MATISSE Henri,0,6,France,France,Portrait au manteau bleu,1,1,Christie's NEW YORK,c-ny,2008,88.jpg,20000000,A,B,1935,20eme,1930
99,MATISSE Henri,0,6,France,France,Danseuse dans le fauteuil  sol en damier,1,1,Sotheby’s NEW YORK,s-ny,2010,99.jpg,18500000,A,A,1942,20eme,1940
129,MATISSE Henri,0,6,France,France,Odalisque jouant aux dames,1,1,Sotheby’s LONDON,s-l,2010,129.jpg,15578850,A,A,1928,20eme,1920
153,MATISSE Henri,0,6,France,France,La fenêtre ouverte,1,1,Christie's NEW YORK,c-ny,2011,153.jpg,14000000,A,A,1911,20eme,1910
161,MATISSE Henri,0,6,France,France,Nu au coussin bleu,1,1,Christie's NEW YORK,c-ny,2010,161.jpg,13400000,A,A,1924,20eme,1920
252,MATISSE Henri,0,6,France,France,Nu au bord de la mer,1,1,Christie's PARIS,c-p,2009,252.jpg,9342540,A,A,1909,20eme,1900
137,MIRO Joan,0,0,Spain,Espagne,La caresse des étoiles,1,1,Christie's NEW YORK,c-ny,2008,137.jpg,15200000,A,A,1938,20eme,1930
259,MIRO Joan,0,0,Spain,Espagne,L'Air,1,1,Christie's NEW YORK,c-ny,2010,259.jpg,9150000,A,A,1938,20eme,1930
5,MODIGLIANI Amedeo,5,0,Italy,Italie,Nu assis sur un divan - la belle romaine,1,1,Sotheby’s NEW YORK,s-ny,2010,5.jpg,61500000,A,B,1917,20eme,1910
12,MODIGLIANI Amedeo,0,0,Italy,Italie,Tête,1,1,Christie's PARIS,c-p,2010,12.jpg,46650450,B,F,1910-1912,20eme,1910
